isBourdon,flueDepth,frequency,cutUpHeight,diameterToe,acousticIntensity,partial1,partial2,partial3,partial4,partial5,partial6,partial7,partial8
0,3.50E-04,196.00,1.05E-02,7.00E-03,73.00,99.00,61.00,87.00,37.00,44.00,0.00,5.00,0.00
0,3.50E-04,196.00,1.05E-02,8.50E-03,90.00,70.00,99.00,73.00,18.00,13.00,0.00,5.00,0.00
0,1.06E-03,146.80,1.20E-02,7.00E-03,65.00,91.00,43.00,99.00,52.00,69.00,40.00,50.00,19.00
0,1.06E-03,138.60,1.20E-02,8.50E-03,86.00,11.00,0.00,99.00,3.00,0.00,0.00,0.00,0.00
0,6.00E-04,174.60,1.00E-02,7.20E-03,87.00,44.00,0.00,99.00,13.00,52.00,33.00,0.00,25.00
0,1.10E-03,174.60,1.00E-02,1.10E-02,111.00,34.00,99.00,17.00,11.00,59.00,28.00,0.00,32.00
0,1.10E-03,110.00,1.70E-02,7.00E-03,66.00,95.00,99.00,55.00,42.00,40.00,21.00,17.00,0.00
0,1.10E-03,110.00,1.70E-02,8.00E-03,68.00,99.00,97.00,97.00,81.00,64.00,45.00,30.00,12.00
0,1.10E-03,110.00,1.70E-02,9.00E-03,79.00,32.00,99.00,21.00,29.00,0.00,6.00,9.00,0.00
0,1.10E-03,110.00,1.70E-02,1.00E-02,84.00,34.00,99.00,42.00,0.00,0.00,23.00,11.00,9.00
0,1.25E-03,116.50,1.40E-02,8.00E-03,72.00,44.00,99.00,40.00,20.00,4.00,0.00,0.00,8.00
0,1.25E-03,116.50,1.40E-02,7.00E-03,68.00,99.00,84.00,79.00,57.00,32.00,21.00,0.00,12.00
0,8.75E-04,116.50,1.40E-02,7.00E-03,68.00,99.00,91.00,87.00,79.00,37.00,43.00,0.00,27.00
0,8.50E-04,103.80,1.55E-02,8.50E-03,71.00,99.00,83.00,88.00,47.00,28.00,0.00,14.00,0.00
0,8.50E-04,103.80,1.55E-02,7.00E-03,66.00,99.00,67.00,68.00,0.00,9.00,0.00,0.00,0.00
0,1.05E-03,103.80,1.55E-02,8.50E-03,71.50,99.00,88.00,85.00,48.00,17.00,1.00,11.00,0.00
0,1.05E-03,103.80,1.55E-02,7.00E-03,65.00,99.00,49.00,65.00,0.00,0.00,0.00,0.00,0.00
0,6.50E-04,123.50,1.25E-02,7.00E-03,68.00,99.00,87.00,73.00,63.00,7.00,15.00,0.00,0.00
0,1.05E-03,123.50,1.25E-02,7.00E-03,61.50,99.00,90.00,63.00,49.00,17.00,0.00,0.00,0.00
0,1.05E-03,123.50,1.25E-02,8.50E-03,75.00,53.00,99.00,50.00,40.00,0.00,15.00,0.00,0.00
0,8.50E-04,123.50,1.25E-02,7.00E-03,78.00,99.00,85.00,54.00,59.00,17.00,0.00,0.00,0.00
1,7.00E-04,174.60,1.01E-02,7.00E-03,80.00,99.00,13.00,85.00,0.00,42.00,12.00,0.00,0.00
1,1.20E-03,146.80,1.20E-02,7.00E-03,65.60,99.00,5.00,65.00,24.00,38.00,9.00,18.00,0.00
1,1.20E-03,146.80,1.20E-02,8.50E-03,73.00,0.00,99.00,0.00,0.00,23.00,0.00,0.00,0.00
1,9.00E-04,146.80,1.20E-02,7.00E-03,64.00,99.00,0.00,78.00,13.00,35.00,0.00,0.00,0.00
1,9.00E-04,98.00,1.66E-02,7.00E-03,62.00,99.00,17.00,84.00,13.00,23.00,15.00,0.00,6.00
1,9.00E-04,98.00,1.66E-02,8.50E-03,66.00,99.00,15.00,94.00,15.00,46.00,20.00,0.00,19.00
1,1.35E-03,98.00,1.66E-02,8.50E-03,79.00,99.00,10.00,95.00,21.00,37.00,25.00,0.00,15.00
1,1.25E-03,103.80,1.57E-02,7.00E+00,75.00,99.00,3.00,80.00,0.00,18.00,0.00,0.00,0.00
1,1.25E-03,103.80,1.57E-02,8.50E-03,87.00,99.00,3.00,82.00,0.00,28.00,0.00,0.00,0.00
1,1.20E-03,110.00,1.49E-02,8.50E-03,65.00,99.00,0.00,72.00,0.00,36.00,0.00,0.00,0.00
1,1.20E-03,116.50,1.40E-02,8.50E-03,65.00,99.00,0.00,71.00,0.00,19.00,0.00,0.00,0.00
1,1.20E-03,123.50,1.30E-02,7.00E-03,65.00,99.00,0.00,79.00,0.00,39.00,10.00,0.00,0.00
