isBourdon,flueDepth,frequency,cutUpHeight,diameterToe,acousticIntensity,maxPartial1,maxPartial2,maxPartial3,maxPartial4,maxPartial5,maxPartial6,maxPartial7,maxPartial8,minPartial1,minPartial2,minPartial3,minPartial4,minPartial5,minPartial6,minPartial7,minPartial8
0,0.0015,69.3,0.0243,0.0208,75,65,99,67,45,52,22,5,28,48,99,56,28,25,3,0,24
0,0.0015,69.3,0.0243,0.0178,72,99,96,74,38,27,0,0,5,99,94,72,34,21,0,0,1
0,0.0015,69.3,0.0243,0.0155,68,99,92,70,34,11,0,0,0,99,90,68,25,3,0,0,0
0,0.0015,69.3,0.0243,0.0125,60,99,80,55,29,0,0,0,0,99,71,51,13,0,0,0,0
0,1.10E-03,110,1.70E-02,7.00E-03,6.70E+01,99,91,58,35,7,0,0,0,99,88,53,27,3,0,0,0
0,1.10E-03,110,1.70E-02,8.00E-03,7.00E+01,99,55,79,38,40,6,0,0,99,49,76,36,37,3,0,0
0,1.10E-03,110,1.70E-02,9.00E-03,7.90E+01,59,99,62,34,14,0,0,0,42,49,55,20,6,0,0,0
0,1.10E-03,110,1.70E-02,1.00E-02,8.90E+01,48,99,57,25,22,9,0,0,39,49,46,19,0,6,0,0
0,3.50E-04,196,1.05E-02,7.00E-03,7.70E+01,99,76,83,28,22,0,0,0,99,70,82,26,21,0,0,0
0,3.50E-04,196,1.05E-02,8.00E-03,8.00E+01,85,99,91,49,8,4,0,0,51,99,84,48,4,0,0,0
0,3.50E-04,196,1.05E-02,9.00E-03,8.90E+01,63,99,77,31,15,0,0,10,60,99,74,27,14,0,0,6
0,3.50E-04,196,1.05E-02,1.00E-02,8.70E+01,76,99,69,39,16,0,0,10,63,99,60,24,14,0,0,6
0,1.25E-03,116.5,1.35E-02,1.00E-02,8.70E+01,54,99,51,29,0,19,0,0,46,99,47,18,0,13,0,0
0,1.25E-03,116.5,1.35E-02,9.00E-03,8.50E+01,38,99,52,30,5,15,0,0,33,99,49,28,3,13,0,0
0,1.25E-03,116.5,1.35E-02,8.00E-03,8.20E+01,58,99,55,27,7,13,0,8,50,99,51,24,6,8,0,5
0,1.25E-03,116.5,1.35E-02,7.00E-03,7.50E+01,99,73,65,31,19,5,0,0,99,65,64,30,17,3,0,0
1,1.20E-03,146.8,1.20E-02,7.00E-03,7.30E+01,99,0,72,20,45,12,0,0,99,0,66,17,42,5,0,0
1,1.20E-03,146.8,1.20E-02,8.00E-03,6.90E+01,57,0,99,15,25,0,0,0,17,0,99,2,22,0,0,0
1,5.00E-04,174.6,1.00E-02,9.00E-03,8.20E+01,73,0,99,0,62,29,0,0,72,0,99,0,41,27,0,0
1,5.00E-04,174.6,1.00E-02,8.00E-03,8.20E+01,90,0,99,0,66,44,0,32,84,0,99,0,64,41,0,21
1,5.00E-04,174.6,1.00E-02,7.00E-03,7.00E+01,99,0,88,0,37,13,0,6,84,0,84,0,36,12,0,4
