isBourdon,flueDepth,frequency,cutUpHeight,diameterToe,acousticIntensity,partial1,partial2,partial3,partial4,partial5,partial6,partial7,partial8
0.0,0.00035,196.0,0.0105,0.007,73.0,99.0,61.0,87.0,37.0,44.0,0.0,5.0,0.0
0.0,0.00035,196.0,0.0105,0.0085,90.0,70.0,99.0,73.0,18.0,13.0,0.0,5.0,0.0
0.0,0.00106,146.8,0.012,0.007,65.0,91.0,43.0,99.0,52.0,69.0,40.0,50.0,19.0
0.0,0.00106,138.6,0.012,0.0085,86.0,11.0,0.0,99.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0006,174.6,0.01,0.0072,87.0,44.0,0.0,99.0,13.0,52.0,33.0,0.0,25.0
0.0,0.0011,174.6,0.01,0.011,111.0,34.0,99.0,17.0,11.0,59.0,28.0,0.0,32.0
0.0,0.0011,110.0,0.017,0.007,66.0,95.0,99.0,55.0,42.0,40.0,21.0,17.0,0.0
0.0,0.0011,110.0,0.017,0.008,68.0,99.0,97.0,97.0,81.0,64.0,45.0,30.0,12.0
0.0,0.0011,110.0,0.017,0.009,79.0,32.0,99.0,21.0,29.0,0.0,6.0,9.0,0.0
0.0,0.0011,110.0,0.017,0.01,84.0,34.0,99.0,42.0,0.0,0.0,23.0,11.0,9.0
0.0,0.00125,116.5,0.014,0.008,72.0,44.0,99.0,40.0,20.0,4.0,0.0,0.0,8.0
0.0,0.00125,116.5,0.014,0.007,68.0,99.0,84.0,79.0,57.0,32.0,21.0,0.0,12.0
0.0,0.000875,116.5,0.014,0.007,68.0,99.0,91.0,87.0,79.0,37.0,43.0,0.0,27.0
0.0,0.00085,103.8,0.0155,0.0085,71.0,99.0,83.0,88.0,47.0,28.0,0.0,14.0,0.0
0.0,0.00085,103.8,0.0155,0.007,66.0,99.0,67.0,68.0,0.0,9.0,0.0,0.0,0.0
0.0,0.00105,103.8,0.0155,0.0085,71.5,99.0,88.0,85.0,48.0,17.0,1.0,11.0,0.0
0.0,0.00105,103.8,0.0155,0.007,65.0,99.0,49.0,65.0,0.0,0.0,0.0,0.0,0.0
